"","V1"
"1","Anhui"
"2","Beijing"
"3","Chongqing"
"4","Fujian"
"5","Gansu"
"6","Guangdong"
"7","Guangxi"
"8","Guizhou"
"9","Hainan"
"10","Hebei"
"11","Heilongjiang"
"12","Henan"
"13","Hong Kong"
"14","Hubei"
"15","Hunan"
"16","Inner Mongolia"
"17","Jiangsu"
"18","Jiangxi"
"19","Jilin"
"20","Liaoning"
"21","Macau"
"22","Ningxia"
"23","Qinghai"
"24","Shaanxi"
"25","Shandong"
"26","Shanghai"
"27","Shanxi"
"28","Sichuan"
"29","Taiwan"
"30","Tianjin"
"31","Tibet"
"32","Washington"
"33","Xinjiang"
"34","Yunnan"
"35","Zhejiang"
"36",""
"37","Chicago"
"38","Illinois"
"39","California"
"40","Arizona"
"41","Ontario"
"42","New South Wales"
"43","Victoria"
"44","British Columbia"
"45","Bavaria"
"46","Queensland"
"47","Chicago, IL"
"48","South Australia"
"49","Boston, MA"
"50","Los Angeles, CA"
"51","Orange, CA"
"52","Santa Clara, CA"
"53","Seattle, WA"
"54","Tempe, AZ"
"55","San Benito, CA"
"56","Toronto, ON"
"57","London, ON"
"58","Madison, WI"
"59","Cruise Ship"
"60","Diamond Princess cruise ship"
"61","San Diego County, CA"
"62","San Antonio, TX"
"63","Ashland, NE"
"64","Travis, CA"
"65","From Diamond Princess"
"66","Lackland, TX"
"67","None"
"68","Humboldt County, CA"
"69","Sacramento County, CA"
"70","Omaha, NE (From Diamond Princess)"
"71","Travis, CA (From Diamond Princess)"
"72","Lackland, TX (From Diamond Princess)"
"73","Unassigned Location (From Diamond Princess)"
"74"," Montreal, QC"
"75","Western Australia"
"76","Portland, OR"
"77","Snohomish County, WA"
"78","Providence, RI"
"79","King County, WA"
"80","Cook County, IL"
"81","Tasmania"
"82","Grafton County, NH"
"83","Hillsborough, FL"
"84","New York City, NY"
"85","Placer County, CA"
"86","San Mateo, CA"
"87","Sarasota, FL"
"88","Sonoma County, CA"
"89","Umatilla, OR"
"90","Fulton County, GA"
"91","Washington County, OR"
"92"," Norfolk County, MA"
"93","Berkeley, CA"
"94","Maricopa County, AZ"
"95","Wake County, NC"
"96","Westchester County, NY"
"97","Orange County, CA"
"98","Northern Territory"
"99","Contra Costa County, CA"
"100","Bergen County, NJ"
"101","Harris County, TX"
"102","San Francisco County, CA"
"103","Clark County, NV"
"104","Fort Bend County, TX"
"105","Grant County, WA"
"106","Queens County, NY"
"107","Santa Rosa County, FL"
"108","Williamson County, TN"
"109","New York County, NY"
"110","Unassigned Location, WA"
"111","Montgomery County, MD"
"112","Suffolk County, MA"
"113","Denver County, CO"
"114","Summit County, CO"
"115","Calgary, Alberta"
"116","Chatham County, NC"
"117","Delaware County, PA"
"118","Douglas County, NE"
"119","Fayette County, KY"
"120","Floyd County, GA"
"121","Marion County, IN"
"122","Middlesex County, MA"
"123","Nassau County, NY"
"124","Norwell County, MA"
"125","Ramsey County, MN"
"126","Washoe County, NV"
"127","Wayne County, PA"
"128","Yolo County, CA"
"129","Santa Clara County, CA"
"130","Grand Princess Cruise Ship"
"131","Douglas County, CO"
"132","Providence County, RI"
"133","Alameda County, CA"
"134","Broward County, FL"
"135","Fairfield County, CT"
"136","Lee County, FL"
"137","Pinal County, AZ"
"138","Rockland County, NY"
"139","Saratoga County, NY"
"140","Edmonton, Alberta"
"141","Charleston County, SC"
"142","Clark County, WA"
"143","Cobb County, GA"
"144","Davis County, UT"
"145","El Paso County, CO"
"146","Honolulu County, HI"
"147","Jackson County, OR "
"148","Jefferson County, WA"
"149","Kershaw County, SC"
"150","Klamath County, OR"
"151","Madera County, CA"
"152","Pierce County, WA"
"153","Plymouth County, MA"
"154","Santa Cruz County, CA"
"155","Tulsa County, OK"
"156","Montgomery County, TX"
"157","Norfolk County, MA"
"158","Montgomery County, PA"
"159","Fairfax County, VA"
"160","Rockingham County, NH"
"161","Washington, D.C."
"162","Berkshire County, MA"
"163","Davidson County, TN"
"164","Douglas County, OR"
"165","Fresno County, CA"
"166","Harford County, MD"
"167","Hendricks County, IN"
"168","Hudson County, NJ"
"169","Johnson County, KS"
"170","Kittitas County, WA"
"171","Manatee County, FL"
"172","Marion County, OR"
"173","Okaloosa County, FL"
"174","Polk County, GA"
"175","Riverside County, CA"
"176","Shelby County, TN"
"177","Spokane County, WA"
"178","St. Louis County, MO"
"179","Suffolk County, NY"
"180","Ulster County, NY"
"181","Unassigned Location, VT"
"182","Unknown Location, MA"
"183","Volusia County, FL"
"184","Alberta"
"185","Quebec"
"186","Johnson County, IA"
"187","Harrison County, KY"
"188","Bennington County, VT"
"189","Carver County, MN"
"190","Charlotte County, FL"
"191","Cherokee County, GA"
"192","Collin County, TX"
"193","Jefferson County, KY"
"194","Jefferson Parish, LA"
"195","Shasta County, CA"
"196","Spartanburg County, SC"
"197","New York"
"198","Massachusetts"
"199","Grand Princess"
"200","Georgia"
"201","Colorado"
"202","Florida"
"203","New Jersey"
"204","Oregon"
"205","Texas"
"206","Pennsylvania"
"207","Iowa"
"208","Maryland"
"209","North Carolina"
"210","South Carolina"
"211","Tennessee"
"212","Virginia"
"213","Indiana"
"214","Kentucky"
"215","District of Columbia"
"216","Nevada"
"217","New Hampshire"
"218","Minnesota"
"219","Nebraska"
"220","Ohio"
"221","Rhode Island"
"222","Wisconsin"
"223","Connecticut"
"224","Hawaii"
"225","Oklahoma"
"226","Utah"
"227","Kansas"
"228","Louisiana"
"229","Missouri"
"230","Vermont"
"231","Alaska"
"232","Arkansas"
"233","Delaware"
"234","Idaho"
"235","Maine"
"236","Michigan"
"237","Mississippi"
"238","Montana"
"239","New Mexico"
"240","North Dakota"
"241","South Dakota"
"242","West Virginia"
"243","Wyoming"
"244","France"
"245","UK"
"246","Denmark"
"247","Faroe Islands"
"248","St Martin"
"249","Channel Islands"
"250","New Brunswick"
"251","Saint Barthelemy"
"252","Gibraltar"
"253","Australian Capital Territory"
"254","United Kingdom"
"255","French Polynesia"
"256","Manitoba"
"257","Saskatchewan"
"258","Alabama"
"259","Fench Guiana"
"260","Puerto Rico"
"261","Virgin Islands, U.S."
"262","French Guiana"
"263","Guam"
"264","Newfoundland and Labrador"
"265","Prince Edward Island"
"266","Mayotte"
"267","Netherlands"
"268","Nova Scotia"
"269","Guadeloupe"
"270","Curacao"
"271","Virgin Islands"
"272","Cayman Islands"
"273","Reunion"
"274","Aruba"
"275","United States Virgin Islands"
"276","US"
"277","Montserrat"
"278","Greenland"
"279","New Caledonia"
"280","Bermuda"
