"","country.code","asciiname","admin1.code"
"355","AD","Sant Julia de Loria","06"
"866","AD","Ordino","05"
"1319","AD","La Massana","04"
"1868","AD","Encamp","03"
"2383","AD","Canillo","02"
"2746","AD","Andorra la Vella","07"
"2839","AD","Escaldes-Engordany","08"
"3528","AE","Umm al Qaywayn","07"
"3989","AE","Ra's al Khaymah","05"
"5102","AE","Dubai","03"
"5540","AE","Ash Shariqah","06"
"5734","AE","Al Fujayrah","04"
"5785","AE","'Ajman","02"
"5821","AE","Abu Zaby","01"
"10247","AF","Wilayat-e Zabul","28"
"10957","AF","Wardak","27"
"12311","AF","Wilayat-e Takhar","26"
"16129","AF","Sar-e Pul","33"
"16783","AF","Samangan","32"
"20050","AF","Parwan","40"
"20250","AF","Wilayat-e Paktika","29"
"20251","AF","Wilayat-e Paktiya","36"
"20454","AF","Uruzgan","39"
"20812","AF","Wilayat-e Nimroz","19"
"21349","AF","Nangarhar","18"
"23524","AF","Wilayat-e Logar","17"
"23978","AF","Wilayat-e Laghman","35"
"24641","AF","Kunduz","24"
"24653","AF","Wilayat-e Kunar","34"
"27188","AF","Wilayat-e Kapisa","14"
"27268","AF","Kandahar","23"
"27884","AF","Wilayat-e Kabul","13"
"27976","AF","Wilayat-e Jowzjan","31"
"28949","AF","Herat","11"
"28967","AF","Helmand","10"
"30014","AF","Wilayat-e Ghor","09"
"30179","AF","Wilayat-e Ghazni","08"
"31130","AF","Faryab Province","07"
"31167","AF","Farah","06"
"36103","AF","Wilayat-e Bamyan","05"
"36152","AF","Balkh","30"
"36399","AF","Wilayat-e Baghlan","03"
"36568","AF","Badghis","02"
"36606","AF","Badakhshan","01"
"53215","AF","Velayat-e Khowst","37"
"53216","AF","Velayat-e Nurestan","38"
"79074","AF","Daykundi Province","41"
"79075","AF","Panjshir","42"
"85253","AG","Parish of Saint Philip","08"
"85254","AG","Parish of Saint Peter","07"
"85255","AG","Parish of Saint Paul","06"
"85256","AG","Parish of Saint Mary","05"
"85261","AG","Parish of Saint John","04"
"85262","AG","Parish of Saint George","03"
"85275","AG","Redonda","09"
"85628","AG","Barbuda","01"
"86121","AI","Blowing Point","11205389"
"86122","AI","Sandy Ground","11205392"
"86123","AI","Sandy Hill","11205393"
"86124","AI","The Valley","11205396"
"86125","AI","East End","11205433"
"86126","AI","North Hill","11205436"
"86127","AI","West End","11205437"
"86128","AI","South Hill","11205438"
"86129","AI","The Quarter","11205439"
"86130","AI","North Side","11205440"
"86131","AI","Island Harbour","11205441"
"86132","AI","George Hill","11205442"
"86133","AI","Stoney Ground","11205443"
"86134","AI","The Farrington","11205444"
"89870","AL","Qarku i Beratit","40"
"89871","AL","Qarku i Dibres","41"
"89872","AL","Qarku i Elbasanit","43"
"89873","AL","Qarku i Gjirokastres","45"
"89874","AL","Qarku i Korces","46"
"89875","AL","Qarku i Kukesit","47"
"93561","AL","Qarku i Durresit","42"
"93562","AL","Qarku i Fierit","44"
"93563","AL","Qarku i Lezhes","48"
"93564","AL","Qarku i Shkodres","49"
"93565","AL","Qarku i Tiranes","50"
"93566","AL","Qarku i Vlores","51"
"95981","AM","Ararati Marz","02"
"95982","AM","Syunik'i Marz","08"
"95983","AM","Vayots' Dzor","10"
"96039","AM","Yerevan","11"
"97235","AM","Aragatsotni Marz","01"
"97236","AM","Armaviri Marz","03"
"97237","AM","Geghark'unik'i Marz","04"
"97238","AM","Kotayk'i Marz","05"
"97239","AM","Lorru Marz","06"
"97240","AM","Shiraki Marz","07"
"97241","AM","Tavushi Marz","09"
"127477","AO","Lunda Sul","18"
"127478","AO","Lunda Norte Province","17"
"128101","AO","Moxico","14"
"128442","AO","Kuando Kubango","04"
"129095","AO","Zaire","16"
"129306","AO","Provincia do Uige","15"
"132595","AO","Malanje Province","12"
"133180","AO","Luanda Province","20"
"134395","AO","Cuanza Norte Province","05"
"135999","AO","Cabinda","03"
"136330","AO","Bengo Province","19"
"138822","AO","Namibe Province","13"
"140108","AO","Huila Province","09"
"140115","AO","Huambo","08"
"140900","AO","Cunene Province","07"
"141037","AO","Kwanza Sul","06"
"143440","AO","Provincia do Bie","02"
"143460","AO","Benguela","01"
"199290","AR","Misiones Province","14"
"202521","AR","Formosa Province","09"
"202580","AR","Ciudad Autonoma de Buenos Aires","07"
"202762","AR","Entre Rios Province","08"
"203836","AR","Corrientes Province","06"
"204526","AR","Buenos Aires","01"
"206788","AR","Tucuman Province","24"
"207654","AR","Tierra del Fuego Province","23"
"209059","AR","Santiago del Estero Province","22"
"209467","AR","Santa Fe Province","21"
"209540","AR","Santa Cruz Province","20"
"210217","AR","San Luis Province","19"
"210339","AR","San Juan Province","18"
"211417","AR","Salta Province","17"
"212013","AR","Rio Negro Province","16"
"216285","AR","Neuquen Province","15"
"217574","AR","Mendoza Province","13"
"222088","AR","La Rioja Province","12"
"222713","AR","La Pampa Province","11"
"226535","AR","Jujuy Province","10"
"233363","AR","Cordoba Province","05"
"234346","AR","Chubut Province","04"
"234989","AR","Chaco Province","03"
"235386","AR","Catamarca Province","02"
"245658","AS","Western District","050"
"245982","AS","Swains Island","040"
"246000","AS","Eastern District","010"
"246217","AS","Manu'a District","020"
"246498","AS","Rose Atoll","030"
"255582","AT","Wien","09"
"256507","AT","Vorarlberg","08"
"257780","AT","Tirol","07"
"258766","AT","Steiermark","06"
"260988","AT","Salzburg","05"
"263992","AT","Oberoesterreich","04"
"264680","AT","Niederoesterreich","03"
"268798","AT","Kaernten","02"
"275251","AT","Burgenland","01"
"300041","AU","State of Western Australia","08"
"302715","AU","State of South Australia","05"
"305892","AU","Northern Territory","03"
"324114","AU","State of Victoria","07"
"326167","AU","State of Tasmania","06"
"331130","AU","State of Queensland","04"
"334245","AU","State of New South Wales","02"
"356264","AU","Australian Capital Territory","01"
"516218","AX","Mariehamns stad","211"
"516219","AX","Alands landsbygd","212"
"516220","AX","Alands skaergard","213"
"516271","AZ","Beylagan Rayon","12"
"516291","AZ","Zangilan Rayon","69"
"516353","AZ","Yardymli Rayon","66"
"516553","AZ","Susa Rayonu","55"
"516659","AZ","Salyan Rayon","49"
"516674","AZ","Sabirabad Rayon","46"
"516677","AZ","Saatly Rayon","45"
"516700","AZ","Bilasuvar Rayon","13"
"520475","BY","Grodno Oblast","03"
"520721","BY","Homyel' Voblasc'","02"
"521838","BY","Brest Oblast","01"
"533819","DK","Region Hovedstaden","17"
"533820","DK","Region Midtjylland","18"
"533821","DK","North Denmark Region","19"
"533822","DK","Region Sjaelland","20"
"533823","DK","Region Syddanmark","21"
"535273","DM","Saint Peter","11"
"535274","DM","Saint Paul","10"
"535275","DM","Saint Patrick","09"
"535276","DM","Saint Mark","08"
"535277","DM","Saint Luke","07"
"535280","DM","Saint Joseph","06"
"535281","DM","Saint John","05"
"535283","DM","Saint George","04"
"535285","DM","Saint David","03"
"535287","DM","Saint Andrew","02"
"536121","DO","Provincia de Valverde","27"
"536921","DO","Provincia de Santiago Rodriguez","26"
"536927","DO","Provincia de Santiago","25"
"537040","DO","Provincia de San Pedro de Macoris","24"
"537100","DO","Provincia de San Juan","23"
"537194","DO","Provincia de San Cristobal","33"
"537200","DO","Provincia Sanchez Ramirez","21"
"537240","DO","Samana Province","20"
"537290","DO","Provincia de Hermanas Mirabal","19"
"538275","DO","Provincia de Puerto Plata","18"
"539023","DO","Provincia de Peravia","35"
"539144","DO","Provincia de Pedernales","16"
"540032","DO","Distrito Nacional","34"
"540140","DO","Provincia de Monte Plata","32"
"540208","DO","Provincia de Monte Cristi","15"
"540282","DO","Provincia de Monsenor Nouel","31"
"540779","DO","Provincia Maria Trinidad Sanchez","14"
"543981","DO","Provincia de La Vega","30"
"544959","DO","Provincia de La Romana","12"
"547708","DO","Provincia de La Altagracia","10"
"548328","DO","Provincia de Independencia","09"
"548767","DO","Provincia de Hato Mayor","29"
"549868","DO","Provincia Espaillat","08"
"550190","DO","Provincia de El Seibo","28"
"551270","DO","Provincia de Elias Pina","11"
"552719","DO","Provincia Duarte","06"
"552952","DO","Provincia de Dajabon","04"
"556041","DO","Provincia de Barahona","03"
"556049","DO","Provincia de Baoruco","02"
"556208","DO","Provincia de Azua","01"
"557110","DO","Provincia de San Jose de Ocoa","36"
"557111","DO","Provincia de Santo Domingo","37"
"574213","DZ","Wilaya de Tlemcen","15"
"574271","DZ","Wilaya de Tizi Ouzou","14"
"574388","DZ","Wilaya de Tissemsilt","56"
"574557","DZ","Wilaya de Tipaza","55"
"574831","DZ","Wilaya de Tindouf","54"
"575420","DZ","Wilaya de tiaret kabas","13"
"575980","DZ","Wilaya de Tebessa","33"
"576740","DZ","Wilaya de Tamanrasset","53"
"577736","DZ","Wilaya de Souk Ahras","52"
"578054","DZ","Wilaya de Skikda","31"
"579522","DZ","Wilaya de Sidi Bel Abbes","30"
"580217","DZ","Wilaya de Setif","12"
"581078","DZ","Wilaya de Saida","10"
"582186","DZ","Wilaya de Relizane","51"
"583133","DZ","Oum el Bouaghi","29"
"584308","DZ","Wilaya de Ouargla","50"
"584433","DZ","Oran","09"
"585023","DZ","Wilaya de Naama","49"
"585193","DZ","Wilaya de M'Sila","27"
"585641","DZ","Wilaya de Mostaganem","07"
"585959","DZ","Wilaya de Mila","48"
"587341","DZ","Wilaya de Medea","06"
"588603","DZ","Wilaya de Mascara","26"
"589695","DZ","Wilaya de Laghouat","25"
"590394","DZ","Wilaya de Khenchela","47"
"591415","DZ","Wilaya de Jijel","24"
"591958","DZ","Illizi","46"
"594157","DZ","Wilaya de Guelma","23"
"594543","DZ","Wilaya de Ghardaia","45"
"595819","DZ","El Tarf","44"
"595903","DZ","El Oued","43"
"597038","DZ","El Bayadh","42"
"598509","DZ","Wilaya de Djelfa","22"
"599642","DZ","Wilaya de Constantine","04"
"599791","DZ","Wilaya de Chlef","41"
"601131","DZ","Wilaya de Boumerdes","40"
"601444","DZ","Wilaya de Bouira","21"
"602192","DZ","Wilaya de Bordj Bou Arreridj","39"
"602258","DZ","Wilaya de Blida","20"
"602315","DZ","Wilaya de Biskra","19"
"603815","DZ","Wilaya de Bejaia","18"
"604015","DZ","Wilaya de Bechar","38"
"604059","DZ","Wilaya de Batna","03"
"605478","DZ","Annaba","37"
"605959","DZ","Wilaya d' Alger","01"
"606383","DZ","Wilaya de Ain Temouchent","36"
"606709","DZ","Wilaya de Ain Defla","35"
"607289","DZ","Adrar","34"
"627238","EC","Provincia de Zamora-Chinchipe","20"
"627726","EC","Provincia del Tungurahua","19"
"630482","EC","Provincia de Pichincha","18"
"630649","EC","Provincia del Pastaza","17"
"631146","EC","Provincia de Napo","23"
"631261","EC","Provincia de Morona-Santiago","15"
"631705","EC","Provincia de Manabi","14"
"631844","EC","Provincia de Los Rios","13"
"631917","EC","Provincia de Loja","12"
"632885","EC","Provincia de Imbabura","11"
"634753","EC","Provincia del Guayas","10"
"635124","EC","Provincia de Galapagos","01"
"635231","EC","Provincia de Esmeraldas","09"
"635440","EC","Provincia de El Oro","08"
"636010","EC","Provincia de Cotopaxi","07"
"636480","EC","Provincia del Chimborazo","06"
"636959","EC","Provincia del Carchi","05"
"637089","EC","Provincia del Canar","04"
"637369","EC","Provincia de Bolivar","03"
"637669","EC","Provincia del Azuay","02"
"639514","EC","Provincia de Sucumbios","22"
"639515","EC","Provincia de Francisco de Orellana","24"
"639584","EC","Provincia de Santo Domingo de los Tsachilas","26"
"639585","EC","Provincia de Santa Elena","25"
"642368","EE","Vorumaa","21"
"642510","EE","Viljandimaa","20"
"642794","EE","Valgamaa","19"
"643253","EE","Tartumaa","18"
"643797","EE","Saaremaa","14"
"644033","EE","Raplamaa","13"
"644290","EE","Polvamaa","12"
"644493","EE","Paernumaa","11"
"645771","EE","Laane-Virumaa","08"
"645773","EE","Laeaenemaa","07"
"646816","EE","Jogevamaa","05"
"646876","EE","Jarvamaa","04"
"646990","EE","Ida-Virumaa","03"
"647048","EE","Hiiumaa","02"
"647085","EE","Harjumaa","01"
"659245","EG","Muhafazat Suhaj","24"
"660848","EG","Muhafazat Shamal Sina'","27"
"661981","EG","Muhafazat Qina","23"
"664018","EG","Muhafazat Matruh","22"
"665889","EG","Kafr ash Shaykh","21"
"666564","EG","South Sinai Governorate","26"
"669330","EG","Damietta Governorate","20"
"669895","EG","Muhafazat Bur Sa'id","19"
"670441","EG","Muhafazat Bani Suwayf","18"
"671045","EG","Muhafazat Asyut","17"
"671051","EG","Muhafazat Aswan","16"
"671061","EG","As Suways","15"
"671278","EG","Muhafazat ash Sharqiyah","14"
"671737","EG","Muhafazat al Wadi al Jadid","13"
"671874","EG","Muhafazat al Qalyubiyah","12"
"671884","EG","Cairo Governorate","11"
"671941","EG","Muhafazat al Minya","10"
"671942","EG","Muhafazat al Minufiyah","09"
"672247","EG","Muhafazat al Jizah","08"
"672305","EG","Ismailia Governorate","07"
"672308","EG","Muhafazat al Iskandariyah","06"
"672540","EG","Muhafazat al Gharbiyah","05"
"672569","EG","Muhafazat al Fayyum","04"
"672616","EG","Beheira Governorate","03"
"672713","EG","Red Sea Governorate","02"
"673086","EG","Muhafazat ad Daqahliyah","01"
"680798","EG","Muhafazat al Uqsur","28"
"696163","ER","Anseba Region","01"
"696164","ER","Debub Region","02"
"696165","ER","Southern Red Sea Region","03"
"696166","ER","Gash-Barka Region","04"
"696167","ER","Maekel Region","05"
"696168","ER","Northern Red Sea Region","06"
"703990","ES","Region de Murcia","31"
"710145","ES","Ceuta","CE"
"711938","ES","Comunitat Autonoma de les Illes Balears","07"
"713395","ES","Andalusia","51"
"713396","ES","Canary Islands","53"
"713397","ES","Castilla-La Mancha","54"
"713398","ES","Extremadura","57"
"713399","ES","Comunitat Valenciana","60"
"723882","ES","Principality of Asturias","34"
"724779","ES","Navarra","32"
"726889","ES","Comunidad de Madrid","29"
"740429","ES","La Rioja","27"
"740430","ES","Cantabria","39"
"740431","ES","Aragon","52"
"740432","ES","Castilla y Leon","55"
"740433","ES","Catalunya","56"
"740434","ES","Galicia","58"
"740435","ES","Euskal Autonomia Erkidegoa","59"
"749434","ES","Melilla","ML"
"803413","ET","Adis Abeba Astedader","44"
"803414","ET","Afar Region","45"
"803415","ET","Amhara Region","46"
"803416","ET","Benishangul-Gumuz Region","47"
"803417","ET","Dire Dawa Region","48"
"803418","ET","Gambela Region","49"
"803419","ET","Harari Region","50"
"803420","ET","Oromiya Region","51"
"803421","ET","Somali Region","52"
"803422","ET","Tigray Region","53"
"803423","ET","Southern Nations, Nationalities, and People's Region","54"
"837629","FI","Lapland","19"
"837630","FI","Kainuu","18"
"837631","FI","Pohjois-Pohjanmaa","17"
"837632","FI","Keski-Pohjanmaa","16"
"837633","FI","Pohjanmaa","15"
"837634","FI","Etela-Pohjanmaa","14"
"837635","FI","Mellersta Finland","13"
"837636","FI","Pohjois-Karjala","12"
"837637","FI","Pohjois-Savo","11"
"837638","FI","Southern Savonia","10"
"837639","FI","Etelae-Karjala","09"
"837640","FI","Kymenlaakso","08"
"837641","FI","Pirkanmaa","06"
"837642","FI","Kanta-Haeme","05"
"837643","FI","Varsinais-Suomi","02"
"837644","FI","Uusimaa","01"
"837645","FI","Paijanne-Tavastland","07"
"837646","FI","Satakunta","04"
"892352","IQ","Muhafazat al Anbar","01"
"981297","IR","Ostan-e Tehran","26"
"981924","IR","Ostan-e Zanjan","36"
"982265","IR","Yazd","40"
"989257","IR","Ostan-e Mazandaran","35"
"989465","IR","Ostan-e Markazi","34"
"990258","IR","Ostan-e Lorestan","23"
"991190","IR","Ostan-e Kordestan","16"
"991466","IR","Ostan-e Kohgiluyeh va Bowyer Ahmad","05"
"991658","IR","Khuzestan","15"
"992750","IR","Ostan-e Kermanshah","13"
"992759","IR","Kerman","29"
"993583","IR","Fars","07"
"998269","IR","Ostan-e Chahar Mahal va Bakhtiari","03"
"998408","IR","Bushehr","22"
"1001033","IR","East Azerbaijan","33"
"1001034","IR","West Azerbaijan Province","01"
"1009933","IR","Ostan-e Ardabil","32"
"1011769","IR","Isfahan","28"
"1012348","IR","Ostan-e Golestan","37"
"1012349","IR","Ostan-e Qazvin","38"
"1012350","IR","Qom","39"
"1017576","JO","Muhafazat Ma'an","19"
"1017966","JO","Irbid","18"
"1019352","JO","Ajloun","20"
"1019353","JO","Jerash","22"
"1019354","JO","Muhafazat al 'Aqabah","21"
"1019355","JO","Muhafazat Madaba","23"
"1026013","JP","Yamanashi","46"
"1026043","JP","Yamaguchi","45"
"1026294","JP","Wakayama","43"
"1027224","JP","Toyama-ken","42"
"1027242","JP","Tottori","41"
"1027495","JP","Tokyo Prefecture","40"
"1027508","JP","Tokushima-ken","39"
"1027660","JP","Tochigi","38"
"1029053","JP","Shizuoka","37"
"1029771","JP","Shimane-ken","36"
"1029881","JP","Shiga","35"
"1030548","JP","Saitama-ken","34"
"1030620","JP","Saga-ken","33"
"1031215","JP","Osaka-fu","32"
"1031655","JP","Okinawa","47"
"1031689","JP","Okayama-ken","31"
"1031791","JP","Oita Prefecture","30"
"1032722","JP","Niigata-ken","29"
"1032900","JP","Nara-ken","28"
"1033444","JP","Nagasaki Prefecture","27"
"1033497","JP","Nagano-ken","26"
"1033992","JP","Miyazaki","25"
"1034625","JP","Mie-ken","23"
"1035172","JP","Kyoto Prefecture","22"
"1035680","JP","Kumamoto","21"
"1036385","JP","Kochi Prefecture","20"
"1037534","JP","Kanagawa","19"
"1038061","JP","Kagoshima-ken","18"
"1038070","JP","Kagawa-ken","17"
"1038618","JP","Ishikawa-ken","15"
"1039269","JP","Hyogo","13"
"1039631","JP","Hiroshima-ken","11"
"1040710","JP","Gunma-ken","10"
"1040846","JP","Gifu","09"
"1041158","JP","Fukuoka Prefecture","07"
"1041183","JP","Fukui","06"
"1041423","JP","Ehime","05"
"1042871","JP","Aichi-ken","01"
"1044369","JP","Yamagata-ken","44"
"1045700","JP","Miyagi-ken","24"
"1046325","JP","Iwate","16"
"1046475","JP","Ibaraki","14"
"1046728","JP","Fukushima-ken","08"
"1046819","JP","Chiba-ken","04"
"1046929","JP","Akita","02"
"1050071","JP","Hokkaido","12"
"1050680","JP","Aomori-ken","03"
"1125366","KE","West Pokot District","55"
"1125658","KE","Wajir District","54"
"1126053","KE","Uasin Gishu","52"
"1126130","KE","Turkana District","51"
"1126284","KE","Trans Nzoia District","50"
"1126594","KE","Tharaka District","49"
"1126799","KE","Tana River District","48"
"1127528","KE","Siaya District","46"
"1127988","KE","Samburu District","45"
"1131914","KE","Nairobi Province","05"
"1132747","KE","Murang'a District","38"
"1133465","KE","Mombasa District","37"
"1133985","KE","Meru","35"
"1134740","KE","Marsabit District","34"
"1135050","KE","Mandera District","33"
"1136933","KE","Laikipia District","29"
"1137244","KE","Kwale District","28"
"1138171","KE","Kitui District","27"
"1138374","KE","Kisumu","26"
"1138428","KE","Kisii District","25"
"1138549","KE","Kirinyaga District","24"
"1139190","KE","Kilifi District","23"
"1139831","KE","Kiambu District","22"
"1140019","KE","Kericho District","21"
"1142377","KE","Kakamega District","20"
"1143331","KE","Isiolo District","18"
"1144833","KE","Garissa District","16"
"1145551","KE","Embu District","15"
"1147047","KE","Busia District","13"
"1147126","KE","Bungoma District","12"
"1147631","KE","Baringo District","10"
"1148593","KE","Nyandarua District","43"
"1148611","KE","Vihiga District","53"
"1148613","KE","Lamu","30"
"1148614","KE","Machakos District","31"
"1148615","KE","Makueni District","32"
"1148616","KE","Marakwet District","14"
"1148618","KE","Taita Taveta District","47"
"1148619","KE","Kajiado District","19"
"1148621","KE","Nyeri District","44"
"1148623","KE","Homa Bay District","17"
"1148624","KE","Bomet District","11"
"1148628","KE","Migori District","36"
"1148632","KE","Nakuru District","39"
"1148633","KE","Narok District","41"
"1148701","KE","Nyamira District","42"
"1149128","KE","Nandi South District","40"
"1156468","KG","Osh Oblasty","08"
"1156469","KG","Batken","09"
"1156872","KG","Talas","06"
"1157150","KG","Naryn oblast","04"
"1157800","KG","Issyk-Kul Region","07"
"1157873","KG","Gorod Bishkek","01"
"1158494","KG","Jalal-Abad oblast","03"
"1158515","KG","Chuyskaya Oblast'","02"
"1162701","KG","Osh City","10"
"1162849","KH","Pursat","12"
"1162858","KH","Battambang","29"
"1163484","KH","Takeo","19"
"1163537","KH","Svay Rieng","18"
"1163572","KH","Stung Treng","17"
"1163753","KH","Otar Meanchey","27"
"1163756","KH","Siem Reap","24"
"1163991","KH","Ratanakiri","23"
"1164151","KH","Prey Veng","14"
"1164218","KH","Preah Vihear","13"
"1171622","KH","Phnom Penh","22"
"1171725","KH","Pailin","30"
"1171825","KH","Mondolkiri","10"
"1172080","KH","Kratie","09"
"1172453","KH","Kep","26"
"1172552","KH","Koh Kong","08"
"1172610","KH","Kandal","07"
"1172626","KH","Kampot","21"
"1172639","KH","Kampong Thom","05"
"1172647","KH","Kampong Speu","04"
"1172681","KH","Kampong Chhnang","03"
"1172687","KH","Kampong Cham","02"
"1173516","KH","Preah Sihanouk","28"
"1173517","KH","Banteay Meanchey","25"
"1173725","KH","Tboung Khmum","31"
"1180647","KI","Gilbert Islands","01"
"1180759","KI","Line Islands","02"
"1180805","KI","Phoenix Islands","03"
"1181628","KM","Moheli","03"
"1181699","KM","Grande Comore","02"
"1181762","KM","Ndzuwani","01"
"1182730","KN","Trinity Palmetto Point","15"
"1182780","KN","Saint Thomas Middle Island","13"
"1182781","KN","Saint Thomas Lowland","12"
"1182784","KN","Saint Peter Basseterre","11"
"1182787","KN","Saint Paul Charlestown","10"
"1182788","KN","Saint Paul Capesterre","09"
"1182789","KN","Saint Mary Cayon","08"
"1182791","KN","Saint John Figtree","07"
"1182792","KN","Saint John Capesterre","06"
"1182793","KN","Saint James Windward","05"
"1182795","KN","Saint George Gingerland","04"
"1182796","KN","Saint George Basseterre","03"
"1182799","KN","Saint Anne Sandy Point","02"
"1183090","KN","Christ Church Nichola Town","01"
"1189276","KP","Pyongyang","12"
"1189371","KP","P'yongan-namdo","15"
"1189373","KP","P'yongan-bukto","11"
"1193266","KZ","East Kazakhstan","15"
"1193877","KZ","Aqmola Oblysy","03"
"1194297","KZ","Qyzylorda Oblysy","14"
"1194558","KZ","Qostanay Oblysy","13"
"1195860","KZ","Zhambyl Oblysy","17"
"1196193","KZ","Turkistan","10"
"1197655","KZ","Almaty","02"
"1203002","KZ","Almaty Oblysy","01"
"1203069","KZ","Shymkent","1537272"
"1203324","KZ","Baikonur","08"
"1203325","KZ","Nur-Sultan","05"
"1221727","RU","Yaroslavskaya Oblast'","88"
"1223320","RU","Voronezhskaya Oblast'","86"
"1223734","RU","Vologodskaya Oblast'","85"
"1224034","RU","Volgogradskaya Oblast'","84"
"1227380","RU","Ulyanovsk Oblast","81"
"1227628","RU","Tverskaya Oblast'","77"
"1229005","RU","Tambovskaya Oblast'","72"
"1229560","RU","Stavropol'skiy Kray","70"
"1229799","RU","Smolenskaya Oblast'","69"
"1234087","RU","Saratovskaya Oblast","67"
"1234479","RU","Samarskaya Oblast'","65"
"1235858","RU","Pskovskaya Oblast'","60"
"1240560","RU","Perm Krai","90"
"1240934","RU","Penzenskaya Oblast'","57"
"1245066","RU","Novgorodskaya Oblast'","52"
"1245709","RU","North Ossetia","68"
"1247712","RU","Nenetskiy Avtonomnyy Okrug","50"
"1251924","RU","Krasnodarskiy Kray","38"
"1260553","RU","Nizhegorodskaya Oblast'","51"
"1263724","RU","Dagestan","17"
"1263825","RU","Chuvashskaya Respublika","16"
"1265397","RU","Chechenskaya Respublika","12"
"1266170","RU","Bryanskaya Oblast'","10"
"1270876","RU","Belgorodskaya Oblast'","09"
"1271648","RU","Bashkortostan","08"
"1273147","RU","Respublika Adygeya","01"
"1283741","RU","Vladimirskaya Oblast'","83"
"1291090","RU","Yamalo-Nenetskiy Avtonomnyy Okrug","87"
"1292729","RU","Tomskaya Oblast'","75"
"1293672","RU","Sverdlovskaya Oblast'","71"
"1297775","RU","Omskaya Oblast'","54"
"1298367","RU","Novosibirskaya Oblast'","53"
"1303273","RU","Chelyabinskaya Oblast'","13"
"1305541","RU","Altayskiy Kray","04"
"1311908","RU","Khabarovskiy Kray","30"
